OBJECTID,crime_description,district
12675,Miscellaneous/Found Property,Northwest
12677,Miscellaneous/Suicide,Southwest
12678,Family Offenses/Nonviolent (eg: neglect),Downtown
12679,Miscellaneous/Missing Person (18 & over),North
12680,Miscellaneous/All Other Non-Offenses,Northeast
12681,Miscellaneous/All Other Non-Offenses,Southeast
12682,Miscellaneous/Suicide,Southwest
12683,Miscellaneous/All Other Non-Offenses,Southeast
12686,Miscellaneous/Found Property,North
12687,Miscellaneous/All Other Non-Offenses,Southeast
12688,Miscellaneous/All Other Non-Offenses,Southwest
12689,Miscellaneous/Lost Property,Northeast
12690,Miscellaneous/All Other Non-Offenses,Northwest
12691,Miscellaneous/All Other Non-Offenses,Downtown
12694,Sex Offense/Forcible Rape,North
12695,Miscellaneous/All Other Non-Offenses,Northeast
12696,Miscellaneous/Lost Property,Downtown
12697,Miscellaneous/All Other Non-Offenses,Northwest
12698,Miscellaneous/All Other Non-Offenses,Northwest
12699,Miscellaneous/Overdose Death,Northwest
12700,Miscellaneous/All Other Non-Offenses,Downtown
12701,Miscellaneous/Mental Commitment,Northeast
12702,Miscellaneous/All Other Non-Offenses,Downtown
12703,Miscellaneous/Found Property,Southeast
12706,Miscellaneous/All Other Non-Offenses,Northwest
12708,Miscellaneous/All Other Non-Offenses,Northeast
12709,Miscellaneous/All Other Non-Offenses,North
12710,Miscellaneous/All Other Non-Offenses,North
12711,Miscellaneous/All Other Non-Offenses,Southeast
12712,Miscellaneous/Found Property,North
12713,Miscellaneous/Found Property,Downtown
12714,Miscellaneous/All Other Non-Offenses,Southeast
12715,Miscellaneous/Found Property,Downtown
12718,Miscellaneous/All Other Non-Offenses,Southeast
12719,Miscellaneous/All Other Non-Offenses,Northwest
12720,Miscellaneous/All Other Non-Offenses,Southeast
12722,Miscellaneous/Found Property,North
12723,Miscellaneous/All Other Non-Offenses,Downtown
12724,Miscellaneous/Lost Property,Northeast
12725,Miscellaneous/Lost Property,Downtown
12726,Miscellaneous/Mental Commitment,Downtown
12727,Miscellaneous/Mental Commitment,Northwest
12730,Miscellaneous/Lost Property,Northwest
12731,Miscellaneous/Mental Commitment,Southeast
12732,Miscellaneous/All Other Non-Offenses,North
12733,Miscellaneous/All Other Non-Offenses,Northwest
12734,Miscellaneous/Found Property,North
12735,Miscellaneous/All Other Non-Offenses,Southwest
12736,Miscellaneous/All Other Non-Offenses,Southeast
12737,Miscellaneous/All Other Non-Offenses,Southeast
12739,Miscellaneous/Lost Property,Southeast
12740,Miscellaneous/All Other Non-Offenses,Northeast
12741,Miscellaneous/All Other Non-Offenses,Northwest
12742,Miscellaneous/All Other Non-Offenses,Southeast
12743,Miscellaneous/All Other Non-Offenses,Northwest
12744,Miscellaneous/All Other Non-Offenses,North
12746,Miscellaneous/All Other Non-Offenses,Northwest
12747,Miscellaneous/Mental Commitment,Northwest
12750,Miscellaneous/All Other Non-Offenses,Northeast
12751,Miscellaneous/Lost Property,Southwest
12753,Miscellaneous/Missing Person (18 & over),Southeast
12754,Miscellaneous/Found Property,Downtown
12755,Miscellaneous/All Other Non-Offenses,Northwest
12756,Miscellaneous/Deceased Person,North
12757,Miscellaneous/Found Property,Southeast
12760,Sex Offense/Peeping Tom,Northwest
12761,Miscellaneous/All Other Non-Offenses,Northeast
12762,Miscellaneous/Found Property,Downtown
12763,Miscellaneous/All Other Non-Offenses,Downtown
12764,Miscellaneous/Lost Property,Southeast
12765,Miscellaneous/Mental Commitment,Downtown
12766,Miscellaneous/Found Property,Southwest
12767,Miscellaneous/Lost Property,Northeast
12768,Miscellaneous/Injured Person,Southeast
12770,Miscellaneous/Found Property,Southwest
12771,Miscellaneous/Suicide,Northwest
12772,Miscellaneous/All Other Non-Offenses,Downtown
12773,Miscellaneous/All Other Non-Offenses,Southwest
12774,Miscellaneous/Missing Person (18 & over),Northeast
12776,Miscellaneous/Missing Person (18 & over),Southwest
12777,Miscellaneous/Found Property,Downtown
12778,Miscellaneous/All Other Non-Offenses,Southeast
12779,Miscellaneous/Lost Property,Northwest
12780,Miscellaneous/All Other Non-Offenses,Downtown
12781,Miscellaneous/All Other Non-Offenses,Downtown
12782,Miscellaneous/All Other Non-Offenses,Downtown
12783,Miscellaneous/Lost Property,Northwest
12784,Miscellaneous/Missing Person (18 & over),Southeast
12785,Miscellaneous/Overdose Death,Northeast
12786,Miscellaneous/Mental Commitment,Southwest
12787,Miscellaneous/Lost Property,North
12788,Miscellaneous/All Other Non-Offenses,Southeast
12789,Miscellaneous/Deceased Person,North
12790,Miscellaneous/Deceased Person,North
12791,Miscellaneous/Suicide,Northeast
12792,Miscellaneous/All Other Non-Offenses,Northeast
12795,Miscellaneous/All Other Non-Offenses,Downtown
12796,Miscellaneous/All Other Non-Offenses,Downtown
12797,Miscellaneous/All Other Non-Offenses,Northeast
12798,Miscellaneous/All Other Non-Offenses,Southeast
12799,Miscellaneous/All Other Non-Offenses,Downtown
12801,Miscellaneous/All Other Non-Offenses,North
12802,Miscellaneous/All Other Non-Offenses,Southwest
12803,Miscellaneous/All Other Non-Offenses,Southwest
12804,Miscellaneous/Mental Commitment,Northeast
12805,Miscellaneous/All Other Non-Offenses,Northwest
12806,Miscellaneous/Found Property,Downtown
12807,Miscellaneous/All Other Non-Offenses,Northwest
12808,Miscellaneous/All Other Non-Offenses,North
12809,Miscellaneous/Mental Commitment,Downtown
12810,Miscellaneous/Mental Commitment,Downtown
12812,Miscellaneous/All Other Non-Offenses,Southeast
12813,Miscellaneous/All Other Non-Offenses,Downtown
12814,Traffic/Citizen Request,Southeast
12815,Miscellaneous/Mental Commitment,Northwest
12817,Miscellaneous/Found Property,Northwest
12818,Miscellaneous/All Other Non-Offenses,North
12819,Miscellaneous/Mental Commitment,Southwest
12820,Miscellaneous/All Other Non-Offenses,Southwest
12821,Miscellaneous/All Other Non-Offenses,Northeast
12823,Miscellaneous/All Other Non-Offenses,Northeast
12824,Miscellaneous/Missing Person (18 & over),Northeast
12825,Miscellaneous/Mental Commitment,Downtown
12826,Miscellaneous/Lost Property,Downtown
12827,Miscellaneous/All Other Non-Offenses,Northeast
12828,Miscellaneous/All Other Non-Offenses,Southeast
12830,Miscellaneous/All Other Non-Offenses,North
12831,Miscellaneous/All Other Non-Offenses,Downtown
12832,Miscellaneous/Missing Person (18 & over),Southwest
12833,Miscellaneous/Suicide,Southeast
12835,Miscellaneous/Mental Commitment,Northeast
12836,Miscellaneous/Mental Commitment,North
12837,Sex Offense/Forcible Fondling,Southeast
12838,Miscellaneous/All Other Non-Offenses,Northeast
12839,Miscellaneous/All Other Non-Offenses,Southeast
12840,Miscellaneous/All Other Non-Offenses,Northeast
12843,Miscellaneous/Lost Property,Southwest
12844,Miscellaneous/Found Property,Southeast
12846,Miscellaneous/All Other Non-Offenses,North
12847,Miscellaneous/All Other Non-Offenses,Southeast
12848,Miscellaneous/All Other Non-Offenses,Northeast
12852,Sex Offense/Forcible Rape,Northwest
12853,Miscellaneous/All Other Non-Offenses,Southeast
12855,Miscellaneous/Mental Commitment,Downtown
12856,Miscellaneous/All Other Non-Offenses,Southeast
12857,Miscellaneous/All Other Non-Offenses,Northwest
12858,Miscellaneous/Found Property,Downtown
12859,Sex Offense/Peeping Tom,Southwest
12860,Miscellaneous/Lost Property,Downtown
12862,Miscellaneous/All Other Non-Offenses,Downtown
12863,Miscellaneous/Mental Commitment,Northeast
12864,Miscellaneous/All Other Non-Offenses,Southeast
12865,Miscellaneous/Found Property,Downtown
12866,Miscellaneous/Suicide,Southwest
12867,Miscellaneous/All Other Non-Offenses,Downtown
12870,Miscellaneous/Mental Commitment,Northwest
12871,Miscellaneous/All Other Non-Offenses,Southeast
12872,Miscellaneous/Mental Commitment,North
12873,Miscellaneous/All Other Non-Offenses,Northwest
12876,Miscellaneous/All Other Non-Offenses,Southwest
12877,Miscellaneous/All Other Non-Offenses,Northeast
12879,Miscellaneous/All Other Non-Offenses,Northwest
12880,Miscellaneous/All Other Non-Offenses,Downtown
12881,Miscellaneous/Found Property,Downtown
12883,Miscellaneous/All Other Non-Offenses,Northeast
12884,Miscellaneous/All Other Non-Offenses,Southeast
12885,Miscellaneous/Lost Property,North
12887,Miscellaneous/Found Property,North
12889,Miscellaneous/Mental Commitment,North
12891,Miscellaneous/All Other Non-Offenses,Northwest
12892,Miscellaneous/All Other Non-Offenses,Downtown
12893,Miscellaneous/All Other Non-Offenses,Northeast
12894,Miscellaneous/Mental Commitment,Southeast
12895,Miscellaneous/All Other Non-Offenses,Northeast
12897,Miscellaneous/All Other Non-Offenses,Southeast
12898,Miscellaneous/All Other Non-Offenses,Southeast
12899,Miscellaneous/Mental Commitment,Northwest
12900,Miscellaneous/All Other Non-Offenses,Downtown
12901,Miscellaneous/All Other Non-Offenses,North
12902,Miscellaneous/Mental Commitment,North
12903,Miscellaneous/All Other Non-Offenses,Southeast
12904,Miscellaneous/All Other Non-Offenses,Southeast
12905,Miscellaneous/All Other Non-Offenses,Downtown
12906,Miscellaneous/All Other Non-Offenses,Southeast
12907,Miscellaneous/All Other Non-Offenses,Northeast
12908,Miscellaneous/Deceased Person,North
12910,Miscellaneous/Lost Property,North
12911,Miscellaneous/Suicide,Downtown
12912,Miscellaneous/All Other Non-Offenses,North
12913,Miscellaneous/All Other Non-Offenses,Northwest
12914,Miscellaneous/All Other Non-Offenses,Southeast
12915,Miscellaneous/All Other Non-Offenses,Northwest
12916,Traffic/Citizen Request,Southeast
12917,Miscellaneous/All Other Non-Offenses,Southwest
12918,Miscellaneous/Injured Person,Southeast
12920,Miscellaneous/Lost Property,Southeast
12921,Miscellaneous/All Other Non-Offenses,Southeast
12922,Miscellaneous/Lost Property,Northeast
12923,Miscellaneous/Found Property,Southeast
12924,Miscellaneous/Lost Property,North
12925,Miscellaneous/All Other Non-Offenses,Northeast
12926,Miscellaneous/Mental Commitment,North
12927,Miscellaneous/All Other Non-Offenses,Southeast
12929,Miscellaneous/All Other Non-Offenses,Northeast
12931,Miscellaneous/All Other Non-Offenses,Southwest
12932,Miscellaneous/Found Property,Southeast
12933,Miscellaneous/All Other Non-Offenses,North
12934,Miscellaneous/All Other Non-Offenses,Downtown
12935,Miscellaneous/Deceased Person,Downtown
12936,Miscellaneous/Deceased Person,Downtown
12938,Miscellaneous/Deceased Person,Northwest
12939,Miscellaneous/All Other Non-Offenses,Southwest
12940,Miscellaneous/All Other Non-Offenses,North
12942,Miscellaneous/All Other Non-Offenses,Southeast
12943,Miscellaneous/All Other Non-Offenses,Downtown
12944,Miscellaneous/Mental Commitment,Downtown
12946,Miscellaneous/All Other Non-Offenses,Northeast
12947,Miscellaneous/All Other Non-Offenses,Southeast
12948,Miscellaneous/All Other Non-Offenses,North
12949,Miscellaneous/All Other Non-Offenses,Downtown
12950,Miscellaneous/Mental Commitment,Downtown
12953,Miscellaneous/Lost Property,Southwest
12954,Miscellaneous/Found Property,Downtown
12957,Miscellaneous/All Other Non-Offenses,Southeast
12958,Miscellaneous/All Other Non-Offenses,Northwest
12959,Miscellaneous/Deceased Person,Southeast
12960,Miscellaneous/All Other Non-Offenses,Southeast
12962,Miscellaneous/Found Property,North
12963,Miscellaneous/Lost Property,Downtown
12965,Miscellaneous/Mental Commitment,Southwest
12966,Miscellaneous/Lost Property,Southeast
12968,Miscellaneous/All Other Non-Offenses,North
12970,Miscellaneous/All Other Non-Offenses,North
12971,Miscellaneous/All Other Non-Offenses,Southwest
12972,Miscellaneous/All Other Non-Offenses,Southeast
12974,Miscellaneous/All Other Non-Offenses,Southeast
12976,Miscellaneous/All Other Non-Offenses,Northeast
12977,Miscellaneous/Mental Commitment,Northwest
12978,Family Offenses/Nonviolent (eg: neglect),Downtown
12979,Miscellaneous/Injured Person,Northeast
12980,Miscellaneous/Suicide,North
12981,Miscellaneous/All Other Non-Offenses,Northeast
12982,Miscellaneous/All Other Non-Offenses,Northeast
12983,Miscellaneous/Mental Commitment,Northwest
12984,Miscellaneous/Deceased Person,Northwest
12985,Miscellaneous/All Other Non-Offenses,Southeast
12987,Miscellaneous/Suicide,Northwest
12988,Miscellaneous/All Other Non-Offenses,Downtown
12989,Miscellaneous/Lost Property,Southwest
12990,Miscellaneous/All Other Non-Offenses,Downtown
12991,Miscellaneous/Deceased Person,North
12992,Miscellaneous/Lost Property,Southeast
12993,Miscellaneous/All Other Non-Offenses,North
12994,Miscellaneous/All Other Non-Offenses,Northeast
12996,Miscellaneous/All Other Non-Offenses,Southeast
12998,Miscellaneous/All Other Non-Offenses,Northwest
13000,Miscellaneous/All Other Non-Offenses,Southwest
13001,Traffic/Citizen Request,Southwest
13003,Miscellaneous/All Other Non-Offenses,Southwest
13004,Miscellaneous/All Other Non-Offenses,Southeast
13005,Miscellaneous/Missing Person (18 & over),Northwest
13006,Miscellaneous/All Other Non-Offenses,Southwest
13008,Miscellaneous/All Other Non-Offenses,Downtown
13009,Miscellaneous/Lost Property,Downtown
13010,Miscellaneous/All Other Non-Offenses,North
13011,Miscellaneous/All Other Non-Offenses,North
13012,Miscellaneous/All Other Non-Offenses,Southwest
13013,Miscellaneous/Lost Property,Downtown
13016,Miscellaneous/Lost Property,Northeast
13017,Miscellaneous/All Other Non-Offenses,Northeast
13018,Sex Offense/Forcible Rape,Northwest
13019,Miscellaneous/All Other Non-Offenses,Downtown
13021,Miscellaneous/All Other Non-Offenses,North
13022,Miscellaneous/All Other Non-Offenses,Southeast
13023,Miscellaneous/Lost Property,Northeast
13024,Miscellaneous/All Other Non-Offenses,North
13025,Miscellaneous/All Other Non-Offenses,Northwest
13026,Miscellaneous/Mental Commitment,Southeast
13027,Miscellaneous/Lost Property,Northeast
13028,Family Offenses/Nonviolent (eg: neglect),Northwest
13029,Miscellaneous/Mental Commitment,Downtown
13030,Miscellaneous/All Other Non-Offenses,Southwest
13031,Sex Offense/All Other,Southeast
13032,Miscellaneous/All Other Non-Offenses,Northwest
13034,Miscellaneous/All Other Non-Offenses,Downtown
13035,Miscellaneous/All Other Non-Offenses,Southeast
13036,Miscellaneous/All Other Non-Offenses,Southeast
13037,Miscellaneous/Mental Commitment,Southeast
13038,Miscellaneous/Found Property,Southwest
13039,Miscellaneous/All Other Non-Offenses,Downtown
13040,Miscellaneous/Lost Property,Southeast
13042,Miscellaneous/Found Property,Southwest
13044,Miscellaneous/Lost Property,Northeast
13045,Miscellaneous/Found Property,Downtown
13047,Miscellaneous/Mental Commitment,Southeast
13048,Miscellaneous/All Other Non-Offenses,Southwest
13049,Miscellaneous/All Other Non-Offenses,Southeast
13050,Miscellaneous/Found Property,Northwest
13051,Miscellaneous/All Other Non-Offenses,Southeast
13052,Miscellaneous/All Other Non-Offenses,Northwest
13053,Miscellaneous/Found Property,Downtown
13054,Miscellaneous/Found Property,Downtown
13055,Miscellaneous/All Other Non-Offenses,Downtown
13056,Miscellaneous/All Other Non-Offenses,Northwest
13058,Miscellaneous/All Other Non-Offenses,Southeast
13059,Miscellaneous/All Other Non-Offenses,North
13060,Miscellaneous/All Other Non-Offenses,Northeast
13061,Miscellaneous/All Other Non-Offenses,North
13062,Miscellaneous/Mental Commitment,Downtown
13064,Miscellaneous/All Other Non-Offenses,North
13065,Miscellaneous/Mental Commitment,Southeast
13066,Miscellaneous/All Other Non-Offenses,Southeast
13067,Miscellaneous/All Other Non-Offenses,Downtown
13068,Miscellaneous/All Other Non-Offenses,North
13070,Miscellaneous/All Other Non-Offenses,Northeast
13072,Miscellaneous/All Other Non-Offenses,North
13073,Miscellaneous/Mental Commitment,Southeast
13074,Miscellaneous/All Other Non-Offenses,Southeast
13075,Miscellaneous/Mental Commitment,Northwest
13076,Miscellaneous/All Other Non-Offenses,Southeast
13077,Miscellaneous/Lost Property,Downtown
13078,Miscellaneous/Found Property,Downtown
13079,Miscellaneous/All Other Non-Offenses,Downtown
13080,Miscellaneous/Lost Property,North
13081,Miscellaneous/All Other Non-Offenses,Southeast
13082,Miscellaneous/Found Property,Downtown
13084,Miscellaneous/Deceased Person,North
13085,Miscellaneous/Mental Commitment,Southeast
13086,Miscellaneous/All Other Non-Offenses,Northwest
13087,Miscellaneous/All Other Non-Offenses,Southwest
13089,Miscellaneous/All Other Non-Offenses,Northeast
13090,Miscellaneous/All Other Non-Offenses,Southeast
13091,Miscellaneous/All Other Non-Offenses,Southwest
13092,Miscellaneous/Mental Commitment,Northwest
13093,Miscellaneous/All Other Non-Offenses,Southeast
13095,Miscellaneous/All Other Non-Offenses,Southeast
13096,Miscellaneous/All Other Non-Offenses,Southwest
13097,Miscellaneous/Lost Property,North
13098,Miscellaneous/All Other Non-Offenses,Northwest
13099,Miscellaneous/All Other Non-Offenses,Southeast
13100,Miscellaneous/All Other Non-Offenses,Southwest
13101,Miscellaneous/All Other Non-Offenses,North
13102,Miscellaneous/Suicide,Northeast
13103,Miscellaneous/All Other Non-Offenses,Southwest
13104,Miscellaneous/All Other Non-Offenses,Southeast
13105,Miscellaneous/All Other Non-Offenses,Downtown
13106,Miscellaneous/All Other Non-Offenses,Downtown
13107,Miscellaneous/Found Property,Northwest
13108,Miscellaneous/All Other Non-Offenses,Southeast
13110,Miscellaneous/All Other Non-Offenses,Southwest
13111,Miscellaneous/All Other Non-Offenses,Northwest
13112,Miscellaneous/All Other Non-Offenses,Southeast
13114,Miscellaneous/All Other Non-Offenses,Southwest
13115,Miscellaneous/All Other Non-Offenses,Northeast
13116,Miscellaneous/Suicide,North
13119,Miscellaneous/All Other Non-Offenses,North
13120,Miscellaneous/Mental Commitment,Northwest
13121,Miscellaneous/All Other Non-Offenses,North
13122,Miscellaneous/Deceased Person,Northeast
13123,Miscellaneous/All Other Non-Offenses,North
13124,Miscellaneous/All Other Non-Offenses,Northwest
13126,Miscellaneous/Mental Commitment,Downtown
13127,Miscellaneous/All Other Non-Offenses,Northwest
13128,Miscellaneous/All Other Non-Offenses,Downtown
13129,Miscellaneous/All Other Non-Offenses,Northeast
13130,Miscellaneous/Lost Property,North
13131,Miscellaneous/Mental Commitment,Downtown
13132,Miscellaneous/Missing Person (18 & over),Northeast
13133,Miscellaneous/All Other Non-Offenses,Northwest
13134,Miscellaneous/Missing Person (18 & over),Downtown
13135,Miscellaneous/All Other Non-Offenses,Northeast
13136,Miscellaneous/All Other Non-Offenses,Downtown
13137,Miscellaneous/Found Property,Southwest
13139,Miscellaneous/All Other Non-Offenses,North
13140,Miscellaneous/All Other Non-Offenses,Northeast
13141,Miscellaneous/All Other Non-Offenses,Northwest
13142,Miscellaneous/Mental Commitment,Southwest
13143,Miscellaneous/All Other Non-Offenses,Northwest
13144,Miscellaneous/All Other Non-Offenses,Southwest
13146,Miscellaneous/All Other Non-Offenses,Downtown
13148,Miscellaneous/All Other Non-Offenses,Downtown
13149,Miscellaneous/Found Property,Downtown
13151,Miscellaneous/All Other Non-Offenses,North
13152,Sex Offense/Peeping Tom,Northeast
13153,Miscellaneous/Lost Property,North
13154,Miscellaneous/Overdose,Downtown
13155,Miscellaneous/All Other Non-Offenses,Downtown
13156,Miscellaneous/Found Property,Northeast
13158,Miscellaneous/All Other Non-Offenses,Downtown
13160,Miscellaneous/Missing Person (18 & over),Northeast
13161,Miscellaneous/All Other Non-Offenses,Southwest
13162,Miscellaneous/All Other Non-Offenses,Downtown
13163,Miscellaneous/All Other Non-Offenses,Downtown
13164,Miscellaneous/Missing Person (18 & over),Northwest
13165,Miscellaneous/All Other Non-Offenses,Northwest
13166,Sex Offense/Forcible Sodomy,Downtown
13167,Miscellaneous/All Other Non-Offenses,Downtown
13168,Miscellaneous/All Other Non-Offenses,Northwest
13170,Family Offenses/Nonviolent (eg: neglect),Downtown
13171,Miscellaneous/Mental Commitment,Southwest
13173,Miscellaneous/All Other Non-Offenses,Southeast
13174,Miscellaneous/Found Property,Downtown
13175,Miscellaneous/All Other Non-Offenses,Downtown
13176,Miscellaneous/All Other Non-Offenses,Northeast
13177,Miscellaneous/Mental Commitment,North
13178,Miscellaneous/All Other Non-Offenses,Southeast
13179,Miscellaneous/All Other Non-Offenses,Southwest
13182,Miscellaneous/Mental Commitment,Downtown
13183,Miscellaneous/Suicide,North
13185,Miscellaneous/All Other Non-Offenses,Southeast
13186,Miscellaneous/All Other Non-Offenses,Downtown
13187,Miscellaneous/All Other Non-Offenses,Northeast
13188,Miscellaneous/All Other Non-Offenses,Southeast
13190,Miscellaneous/All Other Non-Offenses,Downtown
13191,Miscellaneous/All Other Non-Offenses,Northwest
13192,Miscellaneous/All Other Non-Offenses,Southeast
13193,Miscellaneous/Found Property,North
13195,Miscellaneous/All Other Non-Offenses,Southwest
13196,Miscellaneous/All Other Non-Offenses,North
13197,Miscellaneous/Mental Commitment,North
13198,Miscellaneous/All Other Non-Offenses,Northwest
13199,Miscellaneous/All Other Non-Offenses,Southeast
13200,Miscellaneous/Overdose,Northeast
13202,Miscellaneous/Mental Commitment,Northwest
13203,Miscellaneous/All Other Non-Offenses,Downtown
13204,Miscellaneous/All Other Non-Offenses,Downtown
13205,Juvenile/Runaway,Southeast
13207,Miscellaneous/Lost Property,North
13209,Miscellaneous/Mental Commitment,Northwest
13210,Miscellaneous/All Other Non-Offenses,Downtown
13211,Miscellaneous/All Other Non-Offenses,Northeast
13212,Miscellaneous/Overdose,North
13213,Miscellaneous/All Other Non-Offenses,Northeast
